id,scientific_name,common_name,source,url,short_description
0,Acanthocinus carinulatus,Acanthocinus carinulatus,,,
1,Acanthoscelides obtectus,Bean weevil,wikipedia,https://en.wikipedia.org/wiki/Acanthoscelides_obtectus,"Acanthoscelides obtectus, the bean weevil, is a species of bruchid beetle. The species was described in 1831 by Thomas Say."
2,Acleris variana,eastern blackheaded budworm,wikipedia,https://en.wikipedia.org/wiki/Acleris_variana,"Acleris variana, the eastern blackheaded budworm, is a moth of the family Tortricidae. It is found in Newfoundland and Cape Breton Island and the north-eastern United States, across the coniferous forest region of Canada, presumably to Saskatchewan or eastern Alberta."
3,Agrilus spp.,Agrilus spp.,,,
4,Aleurodicus dispersus,Aleurodicus dispersus,wikipedia,https://en.wikipedia.org/wiki/Aleurodicus_dispersus,"Aleurodicus dispersus, the spiralling whitefly, is a species of small, white sap-sucking insect, a true bug in the order Hemiptera. It originated in Central America and the Caribbean region and has spread to many of the world's tropical and subtropical regions, where it has become a major pest of agricultural crops."
5,Anastrepha,Anastrepha,wikipedia,https://en.wikipedia.org/wiki/Anastrepha,"Anastrepha is the most diverse genus in the American tropics and subtropics. Currently, it comprises more than 300 described species, including nine major pest species, such as the Mexican fruit fly, the South American fruit fly, the West Indian fruit fly, the sapote fruit fly, the Caribbean fruit fly, the American guava fruit fly, and the pumpkin fruit fly, as well as the papaya fruit fly. As some of their names suggest, these pest species are one of the most numerous and damaging groups of insects in their native range, plaguing commercial fruits such as citrus, mango, guava, and papaya."
6,Aonidiella comperei,false yellow scale,,,
7,Apate monachus,Apate monachus,,,
8,Arhopalus syriacus,Arhopalus syriacus,,,
9,Bactrocera,Bactrocera,wikipedia,https://en.wikipedia.org/wiki/Bactrocera,"Bactrocera is a large genus of tephritid fruit flies, with close to 500 species currently described and accepted."
10,Batocera spp.,Batocera spp.,,,
11,Bruchus spp.,Bruchus spp.,,,
12,Cacoecimorpha pronubana,Cacoecimorpha pronubana,wikipedia,https://en.wikipedia.org/wiki/Cacoecimorpha,"Cacoecimorpha is a monotypic moth genus of the family Tortricidae. Cacoecimorpha pronubana—the carnation tortrix—is its sole species and is found in Europe, northern Africa, South Africa, Anatolia and North America."
13,Callosobruchus spp.,Cowpea weevil or bean weevil,,,
