id,scientific_name,common_name,source,url,short_description
0,Ambrosia,Ragweed or Bursage,wikipedia,https://en.wikipedia.org/wiki/Ambrosia,"In the ancient Greek myths, ambrosia is the food or drink of the Greek gods, and is often depicted as conferring longevity or immortality upon whoever consumed it. It was brought to the gods in Olympus by doves and served either by Hebe or by Ganymede at the heavenly feast."
1,Ammi majus,Ammi majus,wikipedia,https://en.wikipedia.org/wiki/Ammi_majus,"Ammi majus, commonly called bishop's flower, false bishop's weed, laceflower, bullwort, etc., is a member of the carrot family Apiaceae. The plant, which has white lace-like flower clusters, has a large distribution through Southern Europe, North Africa and West and Central Asia, though it is hypothesized to be native to the Nile River Valley."
2,Bromus rigidus,Bromus rigidus,wikipedia,https://en.wikipedia.org/wiki/Bromus_rigidus,"Bromus rigidus, the ripgut brome, is a grass native to Eurasia and naturalized in North America. The specific epithet rigidus means rigid or stiff."
3,Bunias orientalis,Bunias orientalis,wikipedia,https://en.wikipedia.org/wiki/Bunias_orientalis,"Bunias orientalis, the Turkish wartycabbage, warty-cabbage, hill mustard, or Turkish rocket, is an edible wild plant species in the genus Bunias. It is classified as an invasive neophyte in most of Middle Europe and parts of North America."
4,Caucalis latifolia,Caucalis latifolia,,,
5,Cenchrus spp.,Cenchrus spp.,,,
6,Crotalaria spectabilis,Crotalaria spectabilis,wikipedia,https://en.wikipedia.org/wiki/Crotalaria_spectabilis,"Crotalaria spectabilis, the showy rattlebox or showy rattlepod, is a species of flowering plant in the pea family Fabaceae. It is native to the Indian Subcontinent, southern China, and Southeast Asia. It is a perennial herb that grows up to 0.6–1.5 m (24–59 in) tall. It grows in montane grasslands, along forest edges, and within meadows. It was introduced to most of the world's tropics and subtropics and is now a serious agricultural pest species. It is toxic to livestock, causing liver damage."
7,Cuscuta spp.,Cuscuta spp.,,,
8,Euphorbia dentata,Euphorbia dentata,wikipedia,https://en.wikipedia.org/wiki/Euphorbia_dentata,"Euphorbia dentata is a species of spurge known by the common names toothed spurge and green poinsettia. It is native to parts of North and South America, and is present elsewhere on the continents. Its true native range is uncertain. It is a noxious weed in some areas. This is a hairy annual herb with an erect or somewhat erect stem reaching anywhere from 20 to 50 centimeters tall. Its hairy, pointed leaves are a few centimeters long, widely to narrowly lance-shaped, and generally toothed. The inflorescence appears at the end of branches and contain cream or yellowish staminate or pistillate flowers just a few millimeters wide. The fruit is a lobed spherical or heart-shaped capsule about half a centimeter wide which contains three bumpy rounded seeds."
9,Flaveria bidentis,Coastal plain yellowtops,wikipedia,https://en.wikipedia.org/wiki/Flaveria_bidentis,"Flaveria bidentis, the coastal plain yellowtops, is a South American plant species of Flaveria within the family Asteraceae. It is native to South America, and naturalized in many places."
10,Ipomoea pandurata,Ipomoea pandurata (Wild Potato Vine),wikipedia,https://en.wikipedia.org/wiki/Ipomoea_pandurata,"Ipomoea pandurata, known as man of the earth, wild potato vine, manroot, wild sweet potato, is a species of herbaceous perennial vine native to North America. It is a twining plant of woodland verges and rough places with heart-shaped leaves and funnel-shaped white flowers with a pinkish throat. The large tuberous roots can be roasted and eaten, or can be used to make a poultice or infusion. When uncooked, the roots have purgative properties."
11,Knautia arvensis,Field scabious,wikipedia,https://en.wikipedia.org/wiki/Knautia_arvensis,"Knautia arvensis, commonly known as field scabious, is a herbaceous perennial species of flowering plant in the honeysuckle family Caprifoliaceae."
12,Lolium temulentum,Lolium temulentum (Darnel),wikipedia,https://en.wikipedia.org/wiki/Lolium_temulentum,"Lolium temulentum, typically known as darnel, poison darnel, darnel ryegrass or cockle, is an annual plant of the genus Lolium within the family Poaceae. The plant stem can grow up to one meter tall, with inflorescence in the ears and purple grain. It has a cosmopolitan distribution."
13,Mikania micrantha,Mikania micrantha (Mile-a-minute vine),wikipedia,https://en.wikipedia.org/wiki/Mikania_micrantha,"Mikania micrantha is a tropical plant in the family Asteraceae; known as bitter vine, climbing hemp vine, or American rope. It is also sometimes called mile-a-minute vine."
14,Orobanche spp.,Orobanche spp. (Broomrape),,,
15,Oxalis latifolia,Oxalis latifolia (Broadleaf woodsorrel),wikipedia,https://en.wikipedia.org/wiki/Oxalis_latifolia,"Oxalis latifolia is a species of flowering plant in the woodsorrel family known by the common names garden pink-sorrel and broadleaf woodsorrel. It is native to Mexico and parts of Central and South America. However, it has propagated to other parts of the world."
16,Senecio jacobaea,Senecio jacobaea (Ragwort),wikipedia,https://en.wikipedia.org/wiki/Jacobaea_vulgaris,"Jacobaea vulgaris, synonym Senecio jacobaea, is a very common wild flower in the family Asteraceae that is native to northern Eurasia, usually in dry, open places, and has also been widely distributed as a weed elsewhere."
17,Striga spp.,Witchweed,,,
18,Tribulus alatus,Puncture Vine,,,
19,Xanthium spp.,Cocklebur,,,
