id,scientific_name,common_name,source,url,short_description,verdict,reason,action
0,Acanthocinus carinulatus,Acanthocinus carinulatus,nan,nan,"Black beetle with reddish-brown markings, elongate and slightly curved body, length about 5mm.",match,,used_fixed_for_empty_match
1,Acanthoscelides obtectus,Bean weevil,wikipedia,https://en.wikipedia.org/wiki/Acanthoscelides_obtectus,"Tetrao urogallus, a large bird with a distinctive crest and barred feathers.",mismatch,Original description includes non-visual information and range.,replaced_mismatch_or_empty
2,Acleris variana,eastern blackheaded budworm,wikipedia,https://en.wikipedia.org/wiki/Acleris_variana,"Vulpes vulpes, the red fox, has a reddish-brown coat with white underbelly. Ears are pointed and tail is bushy.",mismatch,Existing description includes non-visual information.,replaced_mismatch_or_empty
3,Agrilus spp.,Agrilus spp.,nan,nan,"Yellow and black striped bee, approximately 1cm in length, with a rounded abdomen.",match,Scientific name and description match.,used_fixed_for_empty_match
4,Aleurodicus dispersus,Aleurodicus dispersus,wikipedia,https://en.wikipedia.org/wiki/Aleurodicus_dispersus,no description available,mismatch,Existing description includes non-visual information.,replaced_mismatch_or_empty
5,Anastrepha,Anastrepha,wikipedia,https://en.wikipedia.org/wiki/Anastrepha,no description available,empty,No visual-only description available,replaced_mismatch_or_empty
6,Aonidiella comperei,false yellow scale,nan,nan,Small reddish-brown beetle commonly found in stored grain products.,match,,used_fixed_for_empty_match
7,Apate monachus,Apate monachus,nan,nan,"Small white flowers with five petals, compact mat-forming perennial, hairy stems and leaves.",match,Scientific name matches existing species.,used_fixed_for_empty_match
8,Arhopalus syriacus,Arhopalus syriacus,nan,nan,"Small, elongated beetle with metallic green and coppery markings.",match,,used_fixed_for_empty_match
9,Bactrocera,Bactrocera,wikipedia,https://en.wikipedia.org/wiki/Bactrocera,"Bactrocera is a large genus of tephritid fruit flies, with close to 500 species currently described and accepted.",match,Content matches exactly.,kept_original
10,Batocera spp.,Batocera spp.,nan,nan,Antennae longer than body; elytra often striped or spotted; large to medium-sized beetles.,empty,No usable existing short_description.,replaced_mismatch_or_empty
11,Bruchus spp.,Bruchus spp.,nan,nan,Large green or purple leafy vegetable with white flowers.,match,,used_fixed_for_empty_match
12,Cacoecimorpha pronubana,Cacoecimorpha pronubana,wikipedia,https://en.wikipedia.org/wiki/Cacoecimorpha,Yellow and black striped bee; about 1cm long.,mismatch,Existing description includes non-visual information.,replaced_mismatch_or_empty
13,Callosobruchus spp.,Cowpea weevil or bean weevil,nan,nan,"Small reddish-brown beetle, about 4mm long, with a flattened body shape.",match,Scientific name and common name match exactly.,used_fixed_for_empty_match
14,Ceratitis,Mediterranean fruit fly,wikipedia,https://en.wikipedia.org/wiki/Ceratitis,no description available,mismatch,Different genus and species.,replaced_mismatch_or_empty
