id,scientific_name,most_common_name,source,status,reason,short_description,facts_text,final_text,url_used
0,Pollimyrus isidori,pollimyrus isidori,fishbase,OK,,"Dorsal spines (total): 0; Dorsal soft rays (total): 17 - 22; Anal spines : 0; Anal soft rays : 21 - 27. Body depth 2.8-4.2 x SL. Sokomo and Comoe forms longer with SL/Depth ratio 3-4. Head 3.8-5.0 x SL. Eye diameter 3.3-6.4 x head length. Dorsal origin slightly behind anal fin origin. Pectorals slightly shorter or equal to head length, 2-3 x longer than pelvic fins, its posterior end reaching past origin of pelvic fins. Caudal peduncle height 2.3-3.9 x of its length, 12.3-20.6 x SL. Middle reaches fish silvery in color with lots of small spots on sides and head, higher reaches fish darker with darker and fewer spots. Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 10
environment: milieu / climate zone / depth range / distribution range
depth: 6
body: fusiform / normal","Dorsal spines (total): 0; Dorsal soft rays (total): 17 - 22; Anal spines : 0; Anal soft rays : 21 - 27. Body depth 2.8-4.2 x SL. Sokomo and Comoe forms longer with SL/Depth ratio 3-4. Head 3.8-5.0 x SL. Eye diameter 3.3-6.4 x head length. Dorsal origin slightly behind anal fin origin. Pectorals slightly shorter or equal to head length, 2-3 x longer than pelvic fins, its posterior end reaching past origin of pelvic fins. Caudal peduncle height 2.3-3.9 x of its length, 12.3-20.6 x SL. Middle reaches fish silvery in color with lots of small spots on sides and head, higher reaches fish darker with darker and fewer spots. Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Pollimyrus-isidori
1,Sebastapistes mauritiana,sebastapistes mauritiana,fishbase,OK,,"Dorsal spines (total): 12; Dorsal soft rays (total): 9; Anal spines : 3; Anal soft rays : 5. Underside of head with weak dark bars; spinous dorsal normally with dark spot . Strong coronal ridges with spine; distinct occipital pit, deepening with age . Body shape ( shape guide ): fusiform / normal","max length: 9
environment: milieu / climate zone / depth range / distribution range
depth: East Africa to the Marquesan and Rapa islands, north to the Ryukyu Islands, south to the Great Barrier Reef and Samoa
body: fusiform / normal","Dorsal spines (total): 12; Dorsal soft rays (total): 9; Anal spines : 3; Anal soft rays : 5. Underside of head with weak dark bars; spinous dorsal normally with dark spot . Strong coronal ridges with spine; distinct occipital pit, deepening with age . Body shape ( shape guide ): fusiform / normal",https://fishbase.se/summary/Sebastapistes-mauritiana
2,Balistapus undulatus,balistapus undulatus,fishbase,OK,,"Dorsal spines (total): 3; Dorsal soft rays (total): 24 - 27; Anal spines : 0; Anal soft rays : 20 - 24. This species is distinguished by the following characters: front of eye without the elongate groove; enlarged scales above the pectoral-fin base and just behind the gill opening to form a flexible tympanum; the scales of the caudal peduncle with 2 longitudinal rows of large anterior-projecting spines; the slightly rounded caudal fin with compressed peduncle; head and body colour green to brown with diagonally curved orange lines and a large round black blotch covering most of the caudal-fin base; rays of soft dorsal, anal and pectoral fins orange and also the caudal fin . Body shape ( shape guide ): short and / or deep; Cross section: oval","max length: 30
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea south to Natal, South Africa (
body: short and / or deep","Dorsal spines (total): 3; Dorsal soft rays (total): 24 - 27; Anal spines : 0; Anal soft rays : 20 - 24. This species is distinguished by the following characters: front of eye without the elongate groove; enlarged scales above the pectoral-fin base and just behind the gill opening to form a flexible tympanum; the scales of the caudal peduncle with 2 longitudinal rows of large anterior-projecting spines; the slightly rounded caudal fin with compressed peduncle; head and body colour green to brown with diagonally curved orange lines and a large round black blotch covering most of the caudal-fin base; rays of soft dorsal, anal and pectoral fins orange and also the caudal fin . Body shape ( shape guide ): short and / or deep; Cross section: oval",https://fishbase.se/summary/Balistapus-undulatus
3,Scarus niger,scarus niger,fishbase,OK,,"Dorsal spines (total): 9; Dorsal soft rays (total): 10; Anal spines : 3; Anal soft rays : 9. This species is distinguished by the following characters: median predorsal scales 6-8 (usually 7); 3 scale rows on cheek, 1(6-7), 2(6-9), 3(2-5); pectoral-fin rays 13-15 (usually 14); conical teeth on side, none in female, usually 2 on upper dental plate for terminal male; lips mainly covering dental plates; caudal fin rounded in small female, with prolonged lobes in large adult. Colour of male reddish brown anteriorly with red upper lip and dark bands around the mouth, greenish posteriorly with dark scale margins, the markings in the head variable but always with a dark-edged yellowish or bright green dot or spot at top end of line from mouth through eye to top of opercular opening.; female red on head, belly and fins, side with wavy black and white stripes, and dark green bands around mouth and eye . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 44
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea south to Sodwana Bay, South Africa (
body: fusiform / normal","Dorsal spines (total): 9; Dorsal soft rays (total): 10; Anal spines : 3; Anal soft rays : 9. This species is distinguished by the following characters: median predorsal scales 6-8 (usually 7); 3 scale rows on cheek, 1(6-7), 2(6-9), 3(2-5); pectoral-fin rays 13-15 (usually 14); conical teeth on side, none in female, usually 2 on upper dental plate for terminal male; lips mainly covering dental plates; caudal fin rounded in small female, with prolonged lobes in large adult. Colour of male reddish brown anteriorly with red upper lip and dark bands around the mouth, greenish posteriorly with dark scale margins, the markings in the head variable but always with a dark-edged yellowish or bright green dot or spot at top end of line from mouth through eye to top of opercular opening.; female red on head, belly and fins, side with wavy black and white stripes, and dark green bands around mouth and eye . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Scarus-niger
4,Aethaloperca rogaa,aethaloperca rogaa,fishbase,OK,,"Dorsal spines (total): 9; Dorsal soft rays (total): 17 - 18; Anal spines : 3; Anal soft rays : 8 - 9. This species is distinguished by the following characters: deep and compressed body with greatest depth 2.1-2.4 in SL; dorsal head profile steep, straight, or slightly concave along snout and distinctly convex from eye to dorsal fin; longitudinal scale series 94-104; gill rakers 8-11 + 15-17; in adults the middle dorsal and anal-fin rays are elongated, giving these fins an angular profile, with the rear margin almost vertical; caudal fin truncate, 8 branched rays in upper lobe and 7 in lower lobe; pectoral fins asymmetric, 17-19 rays. Colour of body dark brown to black, occasionally with an orange cast, usually with a pale vertical bar on side of abdomen; inside of mouth, gill cavity and upper jaw membranes reddish orange; juveniles with a broad white posterior margin on caudal fin and a narrow white margin on soft dorsal fin . Body shape ( shape guide ): short and / or deep; Cross section: compressed","max length: 60
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea to South Africa and east to the Gilbert Islands
body: short and / or deep","Dorsal spines (total): 9; Dorsal soft rays (total): 17 - 18; Anal spines : 3; Anal soft rays : 8 - 9. This species is distinguished by the following characters: deep and compressed body with greatest depth 2.1-2.4 in SL; dorsal head profile steep, straight, or slightly concave along snout and distinctly convex from eye to dorsal fin; longitudinal scale series 94-104; gill rakers 8-11 + 15-17; in adults the middle dorsal and anal-fin rays are elongated, giving these fins an angular profile, with the rear margin almost vertical; caudal fin truncate, 8 branched rays in upper lobe and 7 in lower lobe; pectoral fins asymmetric, 17-19 rays. Colour of body dark brown to black, occasionally with an orange cast, usually with a pale vertical bar on side of abdomen; inside of mouth, gill cavity and upper jaw membranes reddish orange; juveniles with a broad white posterior margin on caudal fin and a narrow white margin on soft dorsal fin . Body shape ( shape guide ): short and / or deep; Cross section: compressed",https://fishbase.se/summary/Aethaloperca-rogaa
5,Scorpaenodes evides,scorpaenodes evides,fishbase,OK,,Dorsal spines (total): 13; Dorsal soft rays (total): 9; Anal spines : 3; Anal soft rays : 5. Body shape ( shape guide ): short and / or deep; Cross section: compressed,"max length: 10
environment: milieu / climate zone / depth range / distribution range
depth: L
body: short and / or deep",Dorsal spines (total): 13; Dorsal soft rays (total): 9; Anal spines : 3; Anal soft rays : 5. Body shape ( shape guide ): short and / or deep; Cross section: compressed,https://fishbase.se/summary/Scorpaenodes-evides
6,Cephalopholis argus,cephalopholis argus,fishbase,OK,,"Dorsal spines (total): 9; Dorsal soft rays (total): 15 - 17; Anal spines : 3; Anal soft rays : 9. This species is distinguished by the following characters: greatest body depth 2.7-3.3 in SL; dorsal soft rays usually 16-17; pectoral fin rays usually 16-17; longitudinal scale series 95-110; caudal fin rounded; pelvic fins short , 1.9-2.4 in head length. Colour of body dark brown, with small black-edged blue spots; often with 5-6 pale bars on rear part of body and a large pale area over the chest (abdominal/pectoral region) . Body shape ( shape guide ): fusiform / normal; Cross section: oval","max length: 60
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea to Durban, South Africa and eastward to French Polynesia and the Pitcairn group, north to the Ryukyu and Ogasawara islands, south to northern Australia and Lord Howe Island
body: fusiform / normal","Dorsal spines (total): 9; Dorsal soft rays (total): 15 - 17; Anal spines : 3; Anal soft rays : 9. This species is distinguished by the following characters: greatest body depth 2.7-3.3 in SL; dorsal soft rays usually 16-17; pectoral fin rays usually 16-17; longitudinal scale series 95-110; caudal fin rounded; pelvic fins short , 1.9-2.4 in head length. Colour of body dark brown, with small black-edged blue spots; often with 5-6 pale bars on rear part of body and a large pale area over the chest (abdominal/pectoral region) . Body shape ( shape guide ): fusiform / normal; Cross section: oval",https://fishbase.se/summary/Cephalopholis-argus
7,Sargocentron spiniferum,sargocentron spiniferum,fishbase,OK,,"Dorsal spines (total): 11; Dorsal soft rays (total): 14 - 16; Anal spines : 4; Anal soft rays : 9 - 10. Head and body red, scale edges silvery white; spinous dorsal crimson in color; other fins orange-yellow; vertically oblong crimson spot on preopercle behind eye . Five oblique scale rows on cheek; body depth 2.4-2.6 in SL; head length (HL) 2.55-2.85 in SL; lower jaw when closed slightly to moderately projecting; snout length 3.0-3.8 in HL larger than orbit diameter in adults; interorbital width 6.3-8.7 in HL; maxilla extending posteriorly to a vertical at front edge of the orbit; anterior end of nasal bone often with 2 close-set, short spines; medioposterior margin of nasal bone spineless; large nasal fossa spineless on margin; slight ridge of upper edge of suborbital bones weakly serrate; 2 subequal opercular spines; long preopercular spine, usually greater than orbit diameter in specimens at least 20 cm SL; 3rd or 4th dorsal spine longest, 1.7-2.3 in HL; 3rd anal spine 1.7-2.3 in HL . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 51
environment: milieu / climate zone / depth range / distribution range
depth: Red Sea and East Africa (
body: fusiform / normal","Dorsal spines (total): 11; Dorsal soft rays (total): 14 - 16; Anal spines : 4; Anal soft rays : 9 - 10. Head and body red, scale edges silvery white; spinous dorsal crimson in color; other fins orange-yellow; vertically oblong crimson spot on preopercle behind eye . Five oblique scale rows on cheek; body depth 2.4-2.6 in SL; head length (HL) 2.55-2.85 in SL; lower jaw when closed slightly to moderately projecting; snout length 3.0-3.8 in HL larger than orbit diameter in adults; interorbital width 6.3-8.7 in HL; maxilla extending posteriorly to a vertical at front edge of the orbit; anterior end of nasal bone often with 2 close-set, short spines; medioposterior margin of nasal bone spineless; large nasal fossa spineless on margin; slight ridge of upper edge of suborbital bones weakly serrate; 2 subequal opercular spines; long preopercular spine, usually greater than orbit diameter in specimens at least 20 cm SL; 3rd or 4th dorsal spine longest, 1.7-2.3 in HL; 3rd anal spine 1.7-2.3 in HL . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Sargocentron-spiniferum
8,Amblygobius phalaena,amblygobius phalaena,fishbase,OK,,"Dorsal spines (total): 7; Dorsal soft rays (total): 13 - 15; Anal spines : 1; Anal soft rays : 14. Characterized by overall greenish brown body color with five dark brown to blackish bars; presence of pale edged dark stripe through eye and another across cheek; head with white streaks; small white spots in 3-4 horizontal rows on body; first dorsal fin with black spot and another on upper caudal fin base; prolonged third and fourth dorsal spines as short filaments, first dorsal spine longer than second; rounded caudal fin; longitudinal scale series 50-55; ctenoid scales; cycloid scales on nape, abdomen, and breast; predorsal scales extending to interorbital space; scales dorsally on opercle, absent on cheek; depth of body 3.4-4.6 in SL . Body shape ( shape guide ): fusiform / normal","max length: 15
environment: milieu / climate zone / depth range / distribution range
depth: Philippines to the Society Islands, north to Ryukyu Islands, south to southern Australia (including Lord Howe Island) and Rapa Island
body: fusiform / normal","Dorsal spines (total): 7; Dorsal soft rays (total): 13 - 15; Anal spines : 1; Anal soft rays : 14. Characterized by overall greenish brown body color with five dark brown to blackish bars; presence of pale edged dark stripe through eye and another across cheek; head with white streaks; small white spots in 3-4 horizontal rows on body; first dorsal fin with black spot and another on upper caudal fin base; prolonged third and fourth dorsal spines as short filaments, first dorsal spine longer than second; rounded caudal fin; longitudinal scale series 50-55; ctenoid scales; cycloid scales on nape, abdomen, and breast; predorsal scales extending to interorbital space; scales dorsally on opercle, absent on cheek; depth of body 3.4-4.6 in SL . Body shape ( shape guide ): fusiform / normal",https://fishbase.se/summary/Amblygobius-phalaena
9,Hampala macrolepidota,hampala macrolepidota,fishbase,OK,,"Dorsal soft rays (total): 11; Anal soft rays : 8. Has a black bar between the dorsal and pelvic fins in adults; orange to red caudal fin with a black longitudinal, marginal stripe along each lobe; juveniles usually with an additional vertical bar on the caudal peduncle ; juveniles with black teardrop-shaped marking on cheek; barbel always longer than eye width . Eyes located in upper-side of head; with a vertical groove reaching behind mouth in isthmus; branchial membranes connected and free . Body shape ( shape guide ): fusiform / normal; Cross section: compressed","max length: 70
environment: milieu / climate zone / depth range / distribution range
depth: Mekong and Chao Phraya basins, Malay Peninsula and Indonesia
body: fusiform / normal","Dorsal soft rays (total): 11; Anal soft rays : 8. Has a black bar between the dorsal and pelvic fins in adults; orange to red caudal fin with a black longitudinal, marginal stripe along each lobe; juveniles usually with an additional vertical bar on the caudal peduncle ; juveniles with black teardrop-shaped marking on cheek; barbel always longer than eye width . Eyes located in upper-side of head; with a vertical groove reaching behind mouth in isthmus; branchial membranes connected and free . Body shape ( shape guide ): fusiform / normal; Cross section: compressed",https://fishbase.se/summary/Hampala-macrolepidota
