id,scientific_name,common_name,source,url,short_description
0,Amanita huijsmanii,Amanita Huijsmanii,,,
1,Russula subfoetens,Russula Subfoetens,,,
2,Amanita olivaceogrisea,Amanita Olivaceogrisea Kalamees,wikipedia,https://en.wikipedia.org/wiki/Amanita_olivaceogrisea,"Amanita olivaceogrisea is a species of Amanita found in England, Estonia, France, Latvia, and Sweden."
3,Mycena picta,Mycena Picta,,,
4,Russula mustelina,Russula Mustelina,wikipedia,https://en.wikipedia.org/wiki/Russula_mustelina,"Russula mustelina, commonly known as the russet brittlegill, is a basidiomycete mushroom of the genus Russula native to Europe and North America. Swedish mycologist Elias Magnus Fries described the species in his 1838 book Epicrisis Systematis Mycologici seu Synopsis Hymenomycetum."
5,Amanita regalis,Amanita Regalis,wikipedia,https://en.wikipedia.org/wiki/Amanita_regalis,"Amanita regalis, commonly known as the royal fly agaric or the king of Sweden Amanita, is a species of fungus in the family Amanitaceae. A. regalis has a scabby liver-brown cap and a stem which is yellow-ochre at the base, with patches or rings of patches. The fruit bodies somewhat resemble the smaller A. muscaria, which it was formerly regarded as a variety of."
6,Mycena smithiana,Mycena Smithiana Kühner,,,
7,Mycena polyadelpha,Mycena Polyadelpha,,,
8,Clitocybe subspadicea,Clitocybe Subspadicea,,,
9,Mycena pelliculosa,Mycena Pelliculosa Quél.,inat->wikipedia,http://en.wikipedia.org/wiki/Mycena_epipterygia,Mycena epipterygia is a species of fungus in the family Mycenaceae of mushrooms commonly found in Europe. It is commonly known as yellowleg bonnet or yellow-stemmed mycena. Mycena nivicola has been suggested as a separate species name for the Western variety.
10,Russula alnetorum,Russula Alnetorum,wikipedia,https://en.wikipedia.org/wiki/Russula_alnetorum,"Russula alnetorum is a species of mushroom in the genus Russula. The fruiting bodies are found growing on the ground in the vicinity of alder trees with which this fungus has a symbiotic relationship. The cap is purple and the gills and stem white, darkening with age."
11,Russula anthracina,Russula Anthracina,,,
12,Mycena pseudopicta,Mycena Pseudopicta,,,
13,Russula aquosa,Russula Aquosa Leclair,,,
14,Russula clavipes,Russula Clavipes,,,
15,Mycena bulbosa,Mycena Bulbosa,,,
16,Russula globispora,Russula Globispora,,,
17,Russula rhodopus,Russula Rhodopus Zvára,,,
18,Mycena maculata,Mycena Maculata,wikipedia,https://en.wikipedia.org/wiki/Mycena_maculata,"Mycena maculata, commonly known as the reddish-spotted Mycena, is a species of fungus in the family Mycenaceae."
19,Agaricus depauperatus,Agaricus Depauperatus,,,
20,Russula melzeri,Russula Melzeri Zvára,,,
21,Mycena xantholeuca,Mycena Xantholeuca Kühner,,,
